siteReportId;conversationId;questionnaireId;dateReceived;dateReceivedDisplay;clientId;locationId;clientName;questionAnswer1;questionAnswer2;questionAnswer3;questionAnswer4;nPSQuestionAnswer;feedbackQuestionAnswer;submitForReward;madeOrIntentToMakePurchase;RegionID;Industry
57843;77123;64;2023-01-31 21:45:12.7000000 -06:00;2023/01/31 21:45;599;1367;Client 1;0;10;0;0;10;Neutral ;VERDADERO;0;1;4
57839;77117;36;2023-01-31 21:38:34.5333333 -05:00;2023/01/31 21:38;156;292;Client 3;8;2;2;8;8;Neutral ;FALSO;1;3;5
57838;77116;36;2023-01-31 21:34:22.2066667 -05:00;2023/01/31 21:34;156;287;Client 3;9;1;2;8;10;Neutral ;VERDADERO;1;4;5
57835;77113;30;2023-01-31 19:58:44.5733333 -06:00;2023/01/31 19:58;575;342;Client 5;10;8;10;8;10;Lynn was awesome!;VERDADERO;1;8;5
57833;77111;36;2023-01-31 20:53:02.7100000 -05:00;2023/01/31 20:53;156;83;Client 3;10;2;2;7;10;Very friendly staff.;VERDADERO;1;6;5
57832;77110;36;2023-01-31 20:43:20.5100000 -05:00;2023/01/31 20:43;156;281;Client 3;8;2;3;8;8;Neutral ;FALSO;1;3;5
57830;77108;24;2023-01-31 20:25:15.9433333 -05:00;2023/01/31 20:25;156;74;Client 3;9;10;8;8;10;Neutral ;VERDADERO;1;5;5
57829;77107;24;2023-01-31 20:25:02.6066667 -05:00;2023/01/31 20:25;156;265;Client 3;10;10;8;10;10;Neutral ;VERDADERO;0;5;5
57828;77106;30;2023-01-31 19:21:07.3566667 -06:00;2023/01/31 19:21;575;349;Client 5;10;10;10;10;10;Friendly and helpful staff. Asked how my visit was going and notified me of the color of the day on their own. Clean and well organized. Art and Maxine were very helpful on the sales floor as well as behind the register.!;VERDADERO;1;9;5
57827;77105;30;2023-01-31 19:18:20.2066667 -06:00;2023/01/31 19:18;575;352;Client 5;7;7;7;10;7;Neutral ;FALSO;1;9;5
57836;77114;39;2023-01-31 20:00:00.0000000 -05:00;2023/01/31 20:00;567;1134;Client 7;5;5;5;4;7;Neutral ;VERDADERO;1;13;5
57852;77135;39;2023-01-31 20:00:00.0000000 -05:00;2023/01/31 20:00;567;1151;Client 7;10;8;9;10;10;Neutral ;VERDADERO;1;14;5
57831;77109;39;2023-01-31 20:00:00.0000000 -05:00;2023/01/31 20:00;567;1161;Client 7;9;5;6;7;9;The 25% discount for seniors on Tuesday are much appreciated.;VERDADERO;1;14;5
57842;77122;39;2023-01-31 20:00:00.0000000 -05:00;2023/01/31 20:00;567;1167;Client 7;9;8;9;9;9;Neutral ;VERDADERO;1;14;5
57840;77120;36;2023-01-31 20:00:00.0000000 -05:00;2023/01/31 20:00;156;69;Client 3;10;2;3;10;10;Neutral ;VERDADERO;1;5;5
57826;77104;36;2023-01-31 18:56:46.0733333 -06:00;2023/01/31 18:56;156;253;Client 3;10;2;3;10;10;The employees were very friendly and the store was very clean And organized. It is also my favorite location to shop at there is always something different each time I go in.;VERDADERO;1;4;5
57825;77102;36;2023-01-31 19:37:26.1066667 -05:00;2023/01/31 19:37;156;287;Client 3;8;2;2;7;10;Neutral ;FALSO;1;4;5
57824;77100;39;2023-01-31 19:34:41.4400000 -05:00;2023/01/31 19:34;567;1143;Client 7;3;2;3;3;1;The merchandise is way overpriced and there is hardly anything on the shelves. I have seen them throwing donations away;VERDADERO;1;15;5
57823;77099;40;2023-01-31 19:32:03.9566667 -05:00;2023/01/31 19:32;567;1135;Client 7;9;10;10;10;8;Neutral ;VERDADERO;1;13;5
57822;77098;30;2023-01-31 18:26:27.5533333 -06:00;2023/01/31 18:26;575;342;Client 5;10;9;10;10;10;The store was very organized and had a lot of nice items from clothes to home goods to furniture even electronics I like to shop there at least once or twice a week;VERDADERO;1;8;5
57821;77097;39;2023-01-31 19:24:42.5566667 -05:00;2023/01/31 19:24;567;1151;Client 7;10;6;7;4;7;Neutral ;VERDADERO;1;14;5
57820;77096;36;2023-01-31 19:23:56.2366667 -05:00;2023/01/31 19:23;156;266;Client 3;9;2;2;10;10;Neutral ;VERDADERO;1;5;5
57819;77095;30;2023-01-31 18:19:20.4300000 -06:00;2023/01/31 18:19;575;351;Client 5;9;7;10;10;9;Neutral ;VERDADERO;1;10;5
57817;77093;63;2023-01-31 17:55:21.8566667 -06:00;2023/01/31 17:55;598;1366;Client 14;10;0;0;9;9;Neutral ;VERDADERO;1;25;7
57815;77091;36;2023-01-31 18:43:25.7766667 -05:00;2023/01/31 18:43;156;257;Client 3;10;1;3;5;8;Neutral ;FALSO;1;5;5
57814;77090;36;2023-01-31 17:29:37.5433333 -06:00;2023/01/31 17:29;156;253;Client 3;8;2;3;10;10;Kathy that works at this particular client, is so kind and helpful! Always working hard when I come there to shop.;VERDADERO;1;4;5
57813;77089;36;2023-01-31 18:18:09.2566667 -05:00;2023/01/31 18:18;156;71;Client 3;8;1;3;7;8;Thank you to the lady that helped me find the top to my karate pants. She saved me a lot of time.;VERDADERO;0;5;5
57812;77088;39;2023-01-31 18:16:57.4500000 -05:00;2023/01/31 18:16;567;1131;Client 7;10;9;7;10;8;Neutral ;VERDADERO;1;13;5
57811;77087;36;2023-01-31 18:15:42.0800000 -05:00;2023/01/31 18:15;156;281;Client 3;9;2;3;10;10;Neutral ;FALSO;1;3;5
57810;77086;39;2023-01-31 18:11:41.5200000 -05:00;2023/01/31 18:11;567;1132;Client 7;10;10;8;7;10;Neutral ;VERDADERO;1;13;5
57850;77133;36;2023-01-31 18:00:00.0000000 -05:00;2023/01/31 18:00;156;281;Client 3;1;1;3;10;10;Neutral ;VERDADERO;1;3;5
57856;77142;36;2023-01-31 18:00:00.0000000 -05:00;2023/01/31 18:00;156;256;Client 3;10;3;3;10;10;The staff is super friendly and the store was well stocked;FALSO;1;6;5
57809;77085;30;2023-01-31 16:49:53.2266667 -06:00;2023/01/31 16:49;575;358;Client 5;10;9;10;10;10;Sandra the cashier was awesome ! She deserves a raise;VERDADERO;1;10;5
57808;77084;24;2023-01-31 17:40:32.3800000 -05:00;2023/01/31 17:40;156;69;Client 3;9;10;10;10;10;Neutral ;FALSO;1;5;5
57807;77082;36;2023-01-31 17:31:58.8533333 -05:00;2023/01/31 17:31;156;281;Client 3;8;2;2;8;8;Neutral ;FALSO;1;3;5
57806;77081;36;2023-01-31 17:30:20.1966667 -05:00;2023/01/31 17:30;156;284;Client 3;8;1;3;10;10;Neutral ;VERDADERO;1;3;5
57805;77080;30;2023-01-31 16:30:09.6066667 -06:00;2023/01/31 16:30;575;358;Client 5;9;8;8;10;9;Daniel is a fantastic employee. client needs more people like him.;VERDADERO;1;10;5
57804;77079;36;2023-01-31 16:26:27.6733333 -06:00;2023/01/31 16:26;156;68;Client 3;4;2;3;8;8;Neutral ;VERDADERO;1;4;5
57803;77078;36;2023-01-31 16:25:21.3766667 -06:00;2023/01/31 16:25;156;251;Client 3;8;2;3;10;10;This store has great inventory, is very clean and the employees are very helpful.;VERDADERO;1;4;5
57802;77077;36;2023-01-31 17:21:42.5633333 -05:00;2023/01/31 17:21;156;267;Client 3;8;1;3;8;10;Azra was friendly and helpful.;VERDADERO;1;5;5
57801;77076;36;2023-01-31 17:19:35.9800000 -05:00;2023/01/31 17:19;156;83;Client 3;10;1;2;8;10;I noticed the prices on older electronics are high ($15 for a USB keyboard that is $5 new at Walmart...). Lower the prices.;VERDADERO;1;6;5
57800;77075;30;2023-01-31 16:18:57.5533333 -06:00;2023/01/31 16:18;575;352;Client 5;8;7;10;8;10;Neutral ;VERDADERO;0;9;5
57799;77074;30;2023-01-31 16:16:15.2166667 -06:00;2023/01/31 16:16;575;346;Client 5;9;7;8;8;9;Neutral ;VERDADERO;1;8;5
57798;77073;30;2023-01-31 16:14:00.9833333 -06:00;2023/01/31 16:14;575;358;Client 5;8;8;9;8;9;Neutral ;VERDADERO;1;10;5
57797;77072;30;2023-01-31 16:11:16.2666667 -06:00;2023/01/31 16:11;575;343;Client 5;7;8;5;8;9;Neutral ;VERDADERO;1;8;5
57796;77071;36;2023-01-31 17:10:16.4966667 -05:00;2023/01/31 17:10;156;281;Client 3;8;1;3;2;5;Neutral ;VERDADERO;1;3;5
57795;77069;30;2023-01-31 15:55:43.1666667 -06:00;2023/01/31 15:55;575;346;Client 5;6;17;8;2;8;Neutral ;VERDADERO;1;8;5
57794;77068;48;2023-01-31 16:52:58.8933333 -05:00;2023/01/31 16:52;582;1175;Client 8;10;10;10;10;10;Thank you for this location;VERDADERO;1;18;5
57792;77066;36;2023-01-31 15:43:35.1133333 -06:00;2023/01/31 15:43;156;251;Client 3;8;1;3;9;10;Neutral ;VERDADERO;1;4;5
57791;77065;36;2023-01-31 16:37:02.6966667 -05:00;2023/01/31 16:37;156;289;Client 3;10;1;1;10;10;The prices are getting to high.;FALSO;0;3;5
57790;77064;39;2023-01-31 16:24:15.3766667 -05:00;2023/01/31 16:24;567;1150;Client 7;9;4;7;6;9;Neutral ;VERDADERO;1;14;5
57789;77063;36;2023-01-31 16:23:49.1833333 -05:00;2023/01/31 16:23;156;283;Client 3;6;3;2;4;10;Neutral ;VERDADERO;1;3;5
57788;77061;36;2023-01-31 16:19:11.6500000 -05:00;2023/01/31 16:19;156;281;Client 3;8;3;3;8;8;Neutral ;VERDADERO;1;3;5
57787;77059;36;2023-01-31 16:16:30.7900000 -05:00;2023/01/31 16:16;156;262;Client 3;10;1;2;8;10;Neutral ;VERDADERO;1;5;5
57786;77057;36;2023-01-31 16:10:24.7800000 -05:00;2023/01/31 16:10;156;72;Client 3;9;1;2;8;9;Neutral ;VERDADERO;1;6;5
57785;77056;36;2023-01-31 16:07:27.7966667 -05:00;2023/01/31 16:07;156;272;Client 3;7;3;2;8;8;Neutral ;VERDADERO;1;6;5
57784;77055;36;2023-01-31 16:04:42.8333333 -05:00;2023/01/31 16:04;156;78;Client 3;7;3;1;7;8;Neutral ;VERDADERO;1;6;5
57783;77054;30;2023-01-31 15:02:16.3966667 -06:00;2023/01/31 15:02;575;341;Client 5;10;10;10;7;10;Keira, was a great help in the survey;VERDADERO;1;9;5
57982;77316;39;2023-01-31 16:00:00.0000000 -05:00;2023/01/31 16:00;567;1151;Client 7;8;3;7;7;7;Please separate children's clothes by boy and girl. If I am looking for boy stuff I have to go through tons of girl stuff to find items.;VERDADERO;1;14;5
57782;77053;30;2023-01-31 14:53:22.3100000 -06:00;2023/01/31 14:53;575;343;Client 5;10;8;10;7;8;Customer service was excellent!;VERDADERO;1;8;5
57781;77052;36;2023-01-31 15:52:17.0133333 -05:00;2023/01/31 15:52;156;80;Client 3;10;2;1;7;8;Neutral ;VERDADERO;1;3;5
57780;77050;30;2023-01-31 14:49:47.8800000 -06:00;2023/01/31 14:49;575;341;Client 5;10;10;10;7;10;Keira was very helpful and kind.;VERDADERO;1;9;5
57779;77048;36;2023-01-31 15:19:15.0566667 -05:00;2023/01/31 15:19;156;282;Client 3;8;1;3;7;8;Neutral ;VERDADERO;1;3;5
57778;77046;39;2023-01-31 15:15:11.4366667 -05:00;2023/01/31 15:15;567;1131;Client 7;10;10;10;10;10;Neutral ;VERDADERO;1;13;5
57777;77044;36;2023-01-31 15:10:20.5800000 -05:00;2023/01/31 15:10;156;289;Client 3;10;2;3;8;8;Neutral ;FALSO;1;3;5
57776;77043;36;2023-01-31 15:05:46.5733333 -05:00;2023/01/31 15:05;156;75;Client 3;7;2;3;10;10;Neutral ;VERDADERO;1;4;5
57775;77042;24;2023-01-31 14:05:41.4233333 -06:00;2023/01/31 14:05;156;253;Client 3;10;10;5;10;10;Neutral ;VERDADERO;1;4;5
57853;77138;30;2023-01-31 14:00:00.0000000 -06:00;2023/01/31 14:00;575;357;Client 5;10;10;10;10;10;Dwain GM is the friendliest and most helpful everytime I visit. Including all the employees at this location. They all do a very great job everyday. They deserve more perks with how well they do their job at this location;VERDADERO;1;11;5
57844;77124;30;2023-01-31 14:00:00.0000000 -06:00;2023/01/31 14:00;575;342;Client 5;10;9;10;10;10;Linda Lynn is an amazing employee, she greets everyone cheerfully when they enter the store and is a very efficient cashier. I've noticed when things are slow she starts helping in other areas of the store. She makes customer visits all the more enjoyable! She's Awesome!;VERDADERO;1;8;5
57774;77041;39;2023-01-31 14:56:41.1433333 -05:00;2023/01/31 14:56;567;1148;Client 7;10;10;10;10;10;Neutral ;VERDADERO;1;13;5
57773;77039;36;2023-01-31 14:47:45.6400000 -05:00;2023/01/31 14:47;156;257;Client 3;7;1;3;8;10;Patty or pat was very nice, greeted us as we walked in and helped us with any questions we had.;FALSO;1;5;5
57772;77036;30;2023-01-31 13:38:39.5266667 -06:00;2023/01/31 13:38;575;350;Client 5;10;9;10;8;10;Neutral ;VERDADERO;1;10;5
57771;77034;48;2023-01-31 14:37:57.5100000 -05:00;2023/01/31 14:37;582;1175;Client 8;9;10;10;10;10;Neutral ;VERDADERO;1;18;5
57770;77033;30;2023-01-31 13:26:11.6800000 -06:00;2023/01/31 13:26;575;341;Client 5;10;10;10;10;10;Yesenia was great she's always happy and eager to help;VERDADERO;1;9;5
57769;77032;36;2023-01-31 13:25:16.2866667 -06:00;2023/01/31 13:25;156;252;Client 3;9;2;2;9;10;The cashier was extremely nice and really helped brighten my day. I was having a really rough day that day so I really appreciated her kindness.;VERDADERO;1;4;5
57768;77031;39;2023-01-31 14:24:26.5600000 -05:00;2023/01/31 14:24;567;1131;Client 7;7;8;8;8;8;Neutral ;VERDADERO;1;13;5
57767;77030;30;2023-01-31 13:24:09.7133333 -06:00;2023/01/31 13:24;575;352;Client 5;10;10;10;8;10;My mom and I go to clients often.  This was the cleanest client we've ever been to.  Even the restrooms were super clean.  Thank you for the nice shopping experience.;VERDADERO;1;9;5
57766;77029;30;2023-01-31 13:20:28.4166667 -06:00;2023/01/31 13:20;575;351;Client 5;10;6;9;8;8;Michele Lopez was great and super helpful. Very informative of what I can expect from client yet to come;VERDADERO;1;10;5
57765;77028;30;2023-01-31 13:20:00.3666667 -06:00;2023/01/31 13:20;575;359;Client 5;10;10;10;8;10;Yadira always give me good service;VERDADERO;1;9;5
57764;77027;36;2023-01-31 14:16:23.4533333 -05:00;2023/01/31 14:16;156;284;Client 3;5;1;2;10;10;Neutral ;VERDADERO;1;3;5
57763;77025;30;2023-01-31 13:14:57.7633333 -06:00;2023/01/31 13:14;575;339;Client 5;10;10;10;10;10;Jeff and Renee are wonderful people! Great experience;VERDADERO;1;9;5
57761;77023;30;2023-01-31 13:10:45.2166667 -06:00;2023/01/31 13:10;575;351;Client 5;10;8;10;10;10;Neutral ;FALSO;0;10;5
57760;77020;36;2023-01-31 14:04:50.9966667 -05:00;2023/01/31 14:04;156;281;Client 3;7;2;2;6;6;Neutral ;VERDADERO;1;3;5
57759;77019;24;2023-01-31 14:00:59.2300000 -05:00;2023/01/31 14:00;156;76;Client 3;10;10;10;10;10;Norman was helpful and pleasant. He gave good service.;VERDADERO;0;6;5
57845;77126;36;2023-01-31 14:00:00.0000000 -05:00;2023/01/31 14:00;156;78;Client 3;5;2;2;8;8;The clothing on racks could be better organized by size;VERDADERO;1;6;5
57837;77115;30;2023-01-31 13:00:00.0000000 -06:00;2023/01/31 13:00;575;351;Client 5;8;10;10;8;10;Neutral ;VERDADERO;1;10;5
57758;77018;36;2023-01-31 12:56:52.5366667 -06:00;2023/01/31 12:56;156;253;Client 3;10;2;3;10;10;Neutral ;VERDADERO;1;4;5
57757;77016;30;2023-01-31 12:45:35.4266667 -06:00;2023/01/31 12:45;575;342;Client 5;10;8;8;10;9;Neutral ;VERDADERO;1;8;5
57756;77013;30;2023-01-31 12:31:52.9566667 -06:00;2023/01/31 12:31;575;340;Client 5;8;7;7;10;8;Neutral ;FALSO;1;9;5
57754;77010;30;2023-01-31 12:22:44.8900000 -06:00;2023/01/31 12:22;575;351;Client 5;11;10;10;10;10;Neutral ;VERDADERO;1;10;5
57753;77009;30;2023-01-31 12:21:31.7666667 -06:00;2023/01/31 12:21;575;341;Client 5;10;10;10;10;10;Yesenia was very nice and great customer service;VERDADERO;1;9;5
57752;77008;39;2023-01-31 12:37:18.1466667 -05:00;2023/01/31 12:37;567;1140;Client 7;9;9;9;7;10;This location needs new wheels on the carts used to shop or new ones.;FALSO;1;16;5
57751;77006;63;2023-01-31 11:33:08.1566667 -06:00;2023/01/31 11:33;598;1366;Client 14;10;10;10;7;8;Neutral ;VERDADERO;1;25;7
57750;77005;39;2023-01-31 12:29:05.5766667 -05:00;2023/01/31 12:29;567;1149;Client 7;10;3;8;8;10;Neutral ;VERDADERO;1;13;5
57749;77004;39;2023-01-31 12:23:36.7733333 -05:00;2023/01/31 12:23;567;1129;Client 7;10;10;9;9;10;Neutral ;VERDADERO;1;15;5
57747;77002;36;2023-01-31 12:02:51.0900000 -05:00;2023/01/31 12:02;156;283;Client 3;9;2;1;5;8;Stop over pricing;VERDADERO;1;3;5
57855;77141;24;2023-01-31 12:00:00.0000000 -05:00;2023/01/31 12:00;156;76;Client 3;10;10;10;10;10;The attendant, Norman, is excellent. He is friendly, positive and always helpful!;FALSO;0;6;5
58097;77488;30;2023-01-31 11:00:00.0000000 -06:00;2023/01/31 11:00;575;351;Client 5;7;10;10;10;9;Neutral ;VERDADERO;1;10;5
57746;77001;24;2023-01-31 11:53:23.1600000 -05:00;2023/01/31 11:53;156;76;Client 3;10;10;10;10;10;Norman was very polite and helpful;VERDADERO;0;6;5
57745;77000;24;2023-01-31 11:50:25.8433333 -05:00;2023/01/31 11:50;156;294;Client 3;1;10;9;10;1;Neutral ;FALSO;1;5;5
57744;76998;24;2023-01-31 11:36:52.5600000 -05:00;2023/01/31 11:36;156;289;Client 3;10;10;8;9;8;"The young man was polite, friendly, helpful
Refreshing guy";VERDADERO;1;3;5
57743;76997;36;2023-01-31 11:29:10.9800000 -05:00;2023/01/31 11:29;156;83;Client 3;3;3;3;9;9;Neutral ;VERDADERO;1;6;5
57742;76996;24;2023-01-31 11:16:55.4466667 -05:00;2023/01/31 11:16;156;83;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;6;5
57741;76994;30;2023-01-31 10:06:52.0333333 -06:00;2023/01/31 10:06;575;348;Client 5;1;2;2;10;1;Love the cashiers and staff at this store, I shop here often. And they are always friendly and happy to help;VERDADERO;1;8;5
57740;76993;30;2023-01-31 10:03:16.2466667 -06:00;2023/01/31 10:03;575;355;Client 5;1;1;1;10;10;Loved that new merchandise was coming out in carts frequently.  It keeps me shopping;VERDADERO;1;10;5
57739;76992;39;2023-01-31 11:01:48.9000000 -05:00;2023/01/31 11:01;567;1158;Client 7;10;10;9;10;10;Yes;VERDADERO;1;17;5
57834;77112;30;2023-01-31 10:00:00.0000000 -06:00;2023/01/31 10:00;575;338;Client 5;10;9;9;10;10;Clean store, friendly staff, cashier Merella always working around the store and friendly to customers. Manager and Chris very helpful;FALSO;1;9;5
57738;76990;36;2023-01-31 10:41:23.3833333 -05:00;2023/01/31 10:41;156;80;Client 3;8;1;2;4;10;Neutral ;VERDADERO;1;3;5
57737;76989;55;2023-01-31 10:32:49.9333333 -05:00;2023/01/31 10:32;588;312;Client 4;2;2;3;4;9;Neutral ;VERDADERO;1;7;5
57736;76988;24;2023-01-31 10:21:23.8433333 -05:00;2023/01/31 10:21;156;81;Client 3;10;10;10;10;10;Neutral ;VERDADERO;0;3;5
57735;76987;36;2023-01-31 10:16:34.7433333 -05:00;2023/01/31 10:16;156;74;Client 3;8;3;3;10;10;Neutral ;VERDADERO;1;5;5
57734;76985;36;2023-01-31 09:53:31.1766667 -05:00;2023/01/31 09:53;156;286;Client 3;10;1;2;7;8;I wish your prices would go down. I donate to client and feel the customers should not have to pay high for donated goods!;VERDADERO;1;3;5
57733;76984;36;2023-01-31 09:51:52.8700000 -05:00;2023/01/31 09:51;156;69;Client 3;3;1;1;8;8;Neutral ;VERDADERO;1;5;5
58104;77497;36;2023-01-31 08:00:00.0000000 -05:00;2023/01/31 08:00;156;278;Client 3;11;1;2;5;7;Neutral ;VERDADERO;1;6;5
57714;76951;64;2023-01-30 20:51:21.7466667 -06:00;2023/01/30 20:51;599;1367;Client 1;0;10;10;0;10;Neutral ;VERDADERO;1;1;4
57713;76950;64;2023-01-30 20:50:57.5966667 -06:00;2023/01/30 20:50;599;1367;Client 1;0;10;0;0;10;Great customer service;VERDADERO;0;1;4
57710;76947;36;2023-01-30 20:45:51.7966667 -06:00;2023/01/30 20:45;156;251;Client 3;5;2;2;5;5;Neutral ;VERDADERO;1;4;5
57709;76946;36;2023-01-30 21:23:01.4133333 -05:00;2023/01/30 21:23;156;291;Client 3;4;2;2;8;8;Neutral ;VERDADERO;1;3;5
57708;76945;36;2023-01-30 21:00:26.3900000 -05:00;2023/01/30 21:00;156;262;Client 3;10;2;2;10;10;The cashiers were very friendly and welcomed me as I came into the store.;VERDADERO;1;5;5
57847;77128;30;2023-01-30 20:00:00.0000000 -06:00;2023/01/30 20:00;575;358;Client 5;9;9;10;10;10;Neutral ;VERDADERO;1;10;5
57716;76954;30;2023-01-30 20:00:00.0000000 -06:00;2023/01/30 20:00;575;344;Client 5;9;7;8;10;8;Better organization of clothes and sizes.;VERDADERO;1;8;5
57707;76944;36;2023-01-30 20:31:11.3366667 -05:00;2023/01/30 20:31;156;69;Client 3;10;2;1;9;7;Neutral ;VERDADERO;1;5;5
57706;76943;55;2023-01-30 20:27:34.7033333 -05:00;2023/01/30 20:27;588;312;Client 4;3;2;3;9;7;Please get rid of the conveyor belt. You would get way more customers if it was gone.;VERDADERO;1;7;5
57705;76942;24;2023-01-30 20:25:23.6466667 -05:00;2023/01/30 20:25;156;257;Client 3;9;9;9;9;9;Neutral ;FALSO;1;5;5
57703;76940;30;2023-01-30 19:19:34.5033333 -06:00;2023/01/30 19:19;575;360;Client 5;10;8;10;9;10;Neutral ;VERDADERO;1;8;5
57702;76939;62;2023-01-30 19:17:28.8133333 -06:00;2023/01/30 19:17;595;1363;Client 11;10;8;10;9;10;Everything was up to my children's expectations, good fun, good food, friendly staff  particularly the young lady in the cafè, Charisma, who was very patient and kind with my daughter.;VERDADERO;1;21;4
57701;76937;30;2023-01-30 19:08:12.4600000 -06:00;2023/01/30 19:08;575;359;Client 5;10;8;10;9;10;Neutral ;VERDADERO;1;9;5
57700;76935;24;2023-01-30 20:00:00.9366667 -05:00;2023/01/30 20:00;156;281;Client 3;8;9;8;8;10;Neutral ;VERDADERO;1;3;5
57699;76933;30;2023-01-30 18:56:57.5933333 -06:00;2023/01/30 18:56;575;359;Client 5;10;9;10;8;9;Neutral ;VERDADERO;1;9;5
57698;76932;30;2023-01-30 18:50:52.2766667 -06:00;2023/01/30 18:50;575;342;Client 5;10;10;10;8;10;Linda E was my cashier. She is amazing! Always makes it a wonderful shopping experience when visiting this location;VERDADERO;1;8;5
57697;76931;36;2023-01-30 19:47:18.8066667 -05:00;2023/01/30 19:47;156;274;Client 3;10;2;3;8;8;Neutral ;VERDADERO;1;3;5
57696;76930;30;2023-01-30 18:36:30.2366667 -06:00;2023/01/30 18:36;575;346;Client 5;10;7;10;8;8;For employees to check DVD cases and make sure they have the DVDs inside. I purchased one today, with no DVD inside.;VERDADERO;1;8;5
57695;76929;36;2023-01-30 19:20:16.9366667 -05:00;2023/01/30 19:20;156;292;Client 3;9;1;2;8;10;Neutral ;VERDADERO;1;3;5
57694;76928;30;2023-01-30 18:16:18.7666667 -06:00;2023/01/30 18:16;575;359;Client 5;10;10;10;8;10;Barbara;VERDADERO;1;9;5
57693;76927;55;2023-01-30 19:12:41.3900000 -05:00;2023/01/30 19:12;588;312;Client 4;3;3;2;8;9;Neutral ;VERDADERO;1;7;5
57725;76967;36;2023-01-30 19:00:00.0000000 -05:00;2023/01/30 19:00;156;257;Client 3;10;1;1;1;4;Neutral ;FALSO;1;5;5
57692;76924;30;2023-01-30 17:52:14.7366667 -06:00;2023/01/30 17:52;575;359;Client 5;10;10;10;1;10;Barbara great;VERDADERO;1;9;5
57691;76923;36;2023-01-30 18:52:03.8500000 -05:00;2023/01/30 18:52;156;295;Client 3;9;2;1;9;9;Staff was very friendly. Nice clean bright organized store;FALSO;1;6;5
57689;76921;36;2023-01-30 18:50:42.3966667 -05:00;2023/01/30 18:50;156;286;Client 3;5;2;3;9;9;Neutral ;VERDADERO;1;3;5
57688;76920;30;2023-01-30 17:49:19.2466667 -06:00;2023/01/30 17:49;575;351;Client 5;8;5;9;9;8;Neutral ;FALSO;1;10;5
57687;76919;36;2023-01-30 18:48:59.0166667 -05:00;2023/01/30 18:48;156;82;Client 3;9;2;2;5;7;This location has gotten junked up, stuff unorganized & too much stuff on top of each other. Hard to look so don't want to stay long & shop. It also has poor air circulation-stinks inside;FALSO;1;6;5
57686;76918;64;2023-01-30 17:44:35.9700000 -06:00;2023/01/30 17:44;599;1367;Client 1;0;10;10;0;10;Alyssa our bartend was very attentive and made excellent drinks;VERDADERO;1;1;4
57685;76917;64;2023-01-30 17:43:04.1033333 -06:00;2023/01/30 17:43;599;1367;Client 1;0;10;0;0;10;Alyssa was a great bartender and very polite;FALSO;0;1;4
57684;76916;64;2023-01-30 17:40:57.7300000 -06:00;2023/01/30 17:40;599;1367;Client 1;0;10;0;0;10;Our bartender Alissa was wonderful and very attentive!;VERDADERO;0;1;4
57683;76915;36;2023-01-30 18:37:05.5233333 -05:00;2023/01/30 18:37;156;286;Client 3;8;2;2;8;10;Neutral ;VERDADERO;1;3;5
57682;76914;24;2023-01-30 18:32:14.4200000 -05:00;2023/01/30 18:32;156;72;Client 3;10;10;8;10;10;Neutral ;FALSO;1;6;5
57681;76912;30;2023-01-30 17:25:28.3100000 -06:00;2023/01/30 17:25;575;351;Client 5;9;8;9;10;9;Neutral ;VERDADERO;1;10;5
57679;76909;36;2023-01-30 18:18:31.1166667 -05:00;2023/01/30 18:18;156;262;Client 3;10;1;3;7;8;Neutral ;FALSO;1;5;5
57677;76907;30;2023-01-30 17:13:48.2466667 -06:00;2023/01/30 17:13;575;351;Client 5;10;10;10;7;10;Neutral ;VERDADERO;1;10;5
57676;76904;36;2023-01-30 17:06:18.0366667 -06:00;2023/01/30 17:06;156;250;Client 3;8;2;1;10;10;Neutral ;VERDADERO;1;4;5
57680;76910;24;2023-01-30 17:49:11.8866667 -05:00;2023/01/30 17:49;156;260;Client 3;9;7;5;6;8;Neutral ;FALSO;0;4;5
57675;76902;24;2023-01-30 17:48:56.1366667 -05:00;2023/01/30 17:48;156;76;Client 3;10;10;10;10;10;Norman is super friendly and super helpful;VERDADERO;0;6;5
57674;76901;36;2023-01-30 17:48:22.3333333 -05:00;2023/01/30 17:48;156;265;Client 3;9;2;2;6;9;Neutral ;VERDADERO;1;5;5
57673;76900;30;2023-01-30 16:48:04.5566667 -06:00;2023/01/30 16:48;575;339;Client 5;10;10;10;6;10;Very busy lately, New Braunfels might be able to support two stores.;VERDADERO;1;9;5
57672;76899;36;2023-01-30 17:47:54.1866667 -05:00;2023/01/30 17:47;156;292;Client 3;4;1;1;8;9;Neutral ;VERDADERO;1;3;5
57671;76898;24;2023-01-30 17:44:15.0066667 -05:00;2023/01/30 17:44;156;267;Client 3;10;10;10;10;10;Neutral ;VERDADERO;1;5;5
57670;76897;39;2023-01-30 17:42:51.1366667 -05:00;2023/01/30 17:42;567;1167;Client 7;8;10;10;10;10;Neutral ;VERDADERO;1;14;5
57669;76896;39;2023-01-30 17:35:52.6300000 -05:00;2023/01/30 17:35;567;1142;Client 7;10;8;8;8;8;Neutral ;VERDADERO;1;13;5
57667;76894;30;2023-01-30 16:26:35.6133333 -06:00;2023/01/30 16:26;575;360;Client 5;10;7;5;8;4;Most suit separate jackets have holes in them;VERDADERO;1;8;5
